"","Age","Academic.Pressure","Work.Pressure","Study.Satisfaction","Job.Satisfaction","Sleep.Duration","Work.Study.Hours","Financial.Stress","Dietary.Habits","Depression"
"Age",1,0.00479825106955293,-0.000395333382198964,-0.000900637091334725,-0.040856857770252,0.0162387602543367,-0.0251675912494451,0.0145783881489196,0.00729654165415309,-0.485146736103975
"Academic.Pressure",0.00479825106955293,1,8.01494430069578e-32,-0.101570798103202,-8.00861797999443e-32,0.00360152457033266,0.0232973792977009,0.00141206205504842,0.00621857882995545,0.275882068583936
"Work.Pressure",-0.000395333382198964,8.01494430069578e-32,1,-6.38317787048658e-32,-0.0127636765073069,-0.0199443029525253,-0.0501409133903391,0.0176204960525186,0.00288869233576227,0.138133457746591
"Study.Satisfaction",-0.000900637091334725,-0.101570798103202,-6.38317787048658e-32,1,6.37813952851096e-32,-0.0102474466435009,-0.00620469004084942,-0.0169456644186443,0.00987708292550351,-0.170005966541976
"Job.Satisfaction",-0.040856857770252,-8.00861797999443e-32,-0.0127636765073069,6.37813952851096e-32,1,-0.00359640179264792,0.00662233651129294,-0.00550960213678404,0.0226694124490481,-0.116712583255118
"Sleep.Duration",0.0162387602543367,0.00360152457033266,-0.0199443029525253,-0.0102474466435009,-0.00359640179264792,1,0.00621416057222956,0.0370154054853405,-0.0179168762580297,-0.0590303860728138
"Work.Study.Hours",-0.0251675912494451,0.0232973792977009,-0.0501409133903391,-0.00620469004084942,0.00662233651129294,0.00621416057222956,1,0.00219257336531865,-0.00468065666750056,0.152464806863921
"Financial.Stress",0.0145783881489196,0.00141206205504842,0.0176204960525186,-0.0169456644186443,-0.00550960213678404,0.0370154054853405,0.00219257336531865,1,-0.0330778921680498,0.165668671534084
"Dietary.Habits",0.00729654165415309,0.00621857882995545,0.00288869233576227,0.00987708292550351,0.0226694124490481,-0.0179168762580297,-0.00468065666750056,-0.0330778921680498,1,-0.108215442112273
"Depression",-0.485146736103975,0.275882068583936,0.138133457746591,-0.170005966541976,-0.116712583255118,-0.0590303860728138,0.152464806863921,0.165668671534084,-0.108215442112273,1
